tool                      bytes   ~tokens
--------------------  ---------  --------
list_events              15,418     3,854
get_event                 4,665     1,166
get_comments              3,192       798
list_tags                 2,948       737
list_markets              2,097       524
collect_markets           1,745       436
search                    1,482       370
list_series               1,373       343
get_holders               1,345       336
get_order_book            1,197       299
get_market                  888       222
get_prices_history          217        54
health                      195        48
get_last_trade_price         97        24
--------------------  ---------  --------
TOTAL                    36,859     9,214
