tool                      bytes   ~tokens
--------------------  ---------  --------
list_events             582,982   145,745
get_holders              69,561    17,390
search                   60,720    15,180
list_markets             44,866    11,216
get_comments             31,101     7,775
list_series              10,250     2,562
list_tags                 9,300     2,325
get_event                 4,701     1,175
get_prices_history        4,549     1,137
collect_markets           3,275       818
get_order_book            1,815       453
get_market                  901       225
health                      343        85
get_last_trade_price         97        24
--------------------  ---------  --------
TOTAL                   824,461   206,115
